alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
fog-harbor-fish-house-san-francisco-2,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 37.809041, 'longitude': -122.410233}",(415) 421-2442,5827.740044156521,f-m7-hyFzkf0HSEeQ2s-9A,https://s3-media1.fl.yelpcdn.com/bphoto/Lv7tIRX3Bim9bKqtWifmNg/o.jpg,False,"{'address1': 'Pier 39', 'address2': 'Ste A-202', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['Pier 39', 'Ste A-202', 'San Francisco, CA 94133']}",Fog Harbor Fish House,+14154212442,$$,4.0,6058,['restaurant_reservation'],https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
kitchen-story-san-francisco,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 37.7642352, 'longitude': -122.4306936}",(415) 525-4905,625.1566435901884,XQLmEdXoMzOpffwoFaBtaQ,https://s3-media2.fl.yelpcdn.com/bphoto/Qjl6sGrNGbBlY-r-1jaYzg/o.jpg,False,"{'address1': '3499 16th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['3499 16th St', 'San Francisco, CA 94114']}",Kitchen Story,+14155254905,$$,4.0,3341,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/kitchen-story-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
son-and-garden-san-francisco,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 37.783387, 'longitude': -122.419016}",(415) 913-7404,2927.3452260692093,vLNzJX1ctfP4NNESCFOeGw,https://s3-media3.fl.yelpcdn.com/bphoto/GwNYDeFAhiYhS1zlyXIFAQ/o.jpg,False,"{'address1': '700 Polk St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['700 Polk St', 'San Francisco, CA 94109']}",Son & Garden,+14159137404,,4.5,56,['restaurant_reservation'],https://www.yelp.com/biz/son-and-garden-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
farmhouse-kitchen-thai-cuisine-san-francisco,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 37.76026094, 'longitude': -122.4112048}",(415) 814-2920,2220.139249062676,8kck3-K4zYKTJbJko0JlXQ,https://s3-media1.fl.yelpcdn.com/bphoto/woO06sua7uMQNBf0wnjf8w/o.jpg,False,"{'address1': '710 Florida St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['710 Florida St', 'San Francisco, CA 94110']}",Farmhouse Kitchen Thai Cuisine,+14158142920,$$,4.0,2427,"['pickup', 'delivery', 'restaurant_reservation']",https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
the-front-porch-san-francisco,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 37.7438, 'longitude': -122.422035}",(415) 695-7800,2285.237602234066,wxzx3duu1c0CcomzEOvfOQ,https://s3-media1.fl.yelpcdn.com/bphoto/0fmMVyqSKOMIqtkQksUTUQ/o.jpg,False,"{'address1': '65 29th St', 'address2': 'Ste A', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['65 29th St', 'Ste A', 'San Francisco, CA 94110']}",The Front Porch,+14156957800,$$,4.0,2821,"['pickup', 'delivery', 'restaurant_reservation']",https://www.yelp.com/biz/the-front-porch-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
brendas-french-soul-food-san-francisco-5,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]","{'latitude': 37.7829016035273, 'longitude': -122.419043442957}",(415) 345-8100,2885.38913097158,lJAGnYzku5zSaLnQ_T6_GQ,https://s3-media3.fl.yelpcdn.com/bphoto/sNIJnePGDenUOyewsD8tLg/o.jpg,False,"{'address1': '652 Polk St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['652 Polk St', 'San Francisco, CA 94102']}",Brenda's French Soul Food,+14153458100,$$,4.0,11001,['delivery'],https://www.yelp.com/biz/brendas-french-soul-food-san-francisco-5?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
surisan-san-francisco,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 37.80678, 'longitude': -122.41756}",(415) 771-8449,5366.476620396218,i09UMzccKgyLwGYKDVP28w,https://s3-media3.fl.yelpcdn.com/bphoto/ortP_EOCgYeUwjn9dEn84g/o.jpg,False,"{'address1': '505 Beach St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['505 Beach St', 'San Francisco, CA 94133']}",Surisan,+14157718449,$$,4.5,1913,"['pickup', 'delivery', 'restaurant_reservation']",https://www.yelp.com/biz/surisan-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
suppenküche-san-francisco-2,"[{'alias': 'german', 'title': 'German'}]","{'latitude': 37.7762603759766, 'longitude': -122.426391601562}",(415) 252-9289,1919.7883063813613,DGyoVB9PdI9_jw0CNi_OPg,https://s3-media4.fl.yelpcdn.com/bphoto/HAumhGEjTcqstgie00Fjag/o.jpg,False,"{'address1': '525 Laguna St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['525 Laguna St', 'San Francisco, CA 94102']}",Suppenküche,+14152529289,$$,4.0,3128,"['delivery', 'restaurant_reservation']",https://www.yelp.com/biz/suppenk%C3%BCche-san-francisco-2?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
hog-island-oyster-co-san-francisco,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]","{'latitude': 37.795831, 'longitude': -122.393303}",(415) 391-7117,5428.15670676801,Xg-FyjVKAN70LO4u4Z1ozg,https://s3-media3.fl.yelpcdn.com/bphoto/TW9FgV_Ufqd15t_ARQuz1A/o.jpg,False,"{'address1': '1 Ferry Bldg', 'address2': '', 'address3': 'Shop 11', 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['1 Ferry Bldg', 'Shop 11', 'San Francisco, CA 94111']}",Hog Island Oyster Co,+14153917117,$$,4.5,5981,[],https://www.yelp.com/biz/hog-island-oyster-co-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
burma-superstar-san-francisco-2,"[{'alias': 'burmese', 'title': 'Burmese'}]","{'latitude': 37.782787322998, 'longitude': -122.462539672852}",(415) 387-2147,3348.056372269087,eYXwVR4mMAjzkJnm5wneHQ,https://s3-media4.fl.yelpcdn.com/bphoto/Rt-zOS-uNY0cafsq1UeoDw/o.jpg,False,"{'address1': '309 Clement St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['309 Clement St', 'San Francisco, CA 94118']}",Burma Superstar,+14153872147,$$,4.0,6765,"['pickup', 'delivery']",https://www.yelp.com/biz/burma-superstar-san-francisco-2?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
